name,location,ratings,features.averageRating,lastUpdated,cost
"Ministry of Coffee",{"1010 Glendon Ave",[34.062100,-118.444060]},[],3.6,[],2
"Espresso Profeta",{"1129 Glendon Ave",[34.060260,-118.444230]},[],3.7,[],2
"Elysee Bakery & Cafe",{"1099 Gayley Ave",[34.060190,-118.446530]},[],3.4,[],2
"Starbucks",{"10955 Weyburn Ave",[34.062538,-34.062538]},[],3.0,[],1
"Alfred Coffee",{"1154 Westwood Blvd",[34.059818,-118.444481]},[],3.5,[],2
